sex	age	birthplace	shoesize	smoking	 avgrade	bafög	applynumb	acceptnumb	laptop	car	glasses	 sleep	religion	job	unieval	  cityeval	rent	abroadbefore	master	exchange	faith	brothsis	friend	animal	micromacro	work	tv	party	parentseducat	parentsstudy	parentsphd	hairdresser	travel	height	weight	cooking	 profession meat	statistics	macburger	studyfine	newspaper	information	soccommit	econconcept						
0,0	21,0	5,0	43,0	1,0	2,2	1,0	5,0	4,0	0,0	0,0	1,0	9,0	2,0	0,0	2,0	3,0	270,0	0,0	0,0	1,0	1,0	4,0	1,0	1,0	2,0	5,0	10,0	5,0	2,0	0,0	0,0	3,0	0,0	181,0	68,0	2,0	0,0	1,0	1,0	2,0	2,0	5,0	5,0	0,0	1,0						
0,0	21,0	5,0	43,0	0,0	1,6	0,0	2,0	2,0	1,0	0,0	1,0	7,0	2,0	0,0	1,0	2,0	345,0	1,0	2,0	2,0	-2,0	1,0	0,0	0,0	2,0	6,0	6,0	1,0	3,0	1,0	0,0	7,0	4,0	181,0	72,0	1,0	0,0	1,0	0,0	1,0	2,0	8,0	1,0	1,0	1,0						
0,0	20,0	2,0	43,0	1,0	1,9	1,0	6,0	6,0	0,0	0,0	1,0	9,0	5,0	0,0	2,0	4,0	270,0	0,0	0,0	0,0	1,0	4,0	0,0	0,0	2,0	4,0	7,0	NA	3,0	0,0	0,0	1,0	0,0	179,0	60,0	1,0	0,0	1,0	0,0	2,0	1,0	2,0	4,0	0,0	1,0						
1,0	21,0	9,0	38,0	0,0	NA	0,0	3,0	3,0	1,0	0,0	0,0	7,0	1,0	0,0	1,0	1,0	210,0	1,0	2,0	1,0	2,0	2,0	1,0	1,0	2,0	20,0	1,5	6,0	3,0	1,0	0,0	3,0	1,0	159,0	59,0	2,0	1,0	1,0	0,0	2,0	2,0	9,0	4,0	1,0	2,0						
1,0	20,0	1,0	40,0	0,0	1,4	0,0	8,0	8,0	1,0	0,0	0,0	7,0	2,0	2,0	2,0	2,0	250,0	0,0	2,0	2,0	1,0	1,0	0,0	1,0	2,0	10,0	4,0	NA	3,0	1,0	0,0	4,0	2,0	183,0	NA	3,0	0,0	1,0	0,0	1,0	2,0	3,0	3,0	1,0	0,0						
0,0	23,0	3,0	43,0	1,0	2,4	1,0	1,0	1,0	1,0	0,0	1,0	7,0	4,0	0,0	2,0	3,0	250,0	0,0	0,0	-1,0	-2,0	0,0	0,0	1,0	2,0	5,0	4,0	6,0	2,0	0,0	0,0	6,0	0,0	178,0	70,0	3,0	0,0	1,0	1,0	2,0	2,0	9,0	4,0	0,0	1,0						
0,0	23,0	1,0	43,0	0,0	2,4	0,0	15,0	8,0	1,0	1,0	1,0	7,5	5,0	0,0	2,0	3,0	240,0	0,0	1,0	1,0	-2,0	3,0	0,0	0,0	3,0	5,0	7,0	5,0	3,0	0,0	0,0	8,0	1,0	178,0	72,0	4,0	0,0	1,0	0,0	1,0	1,0	2,0	4,0	0,0	0,0						
1,0	19,0	1,0	37,0	0,0	1,9	1,0	4,0	4,0	0,0	0,0	0,0	6,5	1,0	1,0	2,0	2,0	0,0	0,0	0,0	1,0	-1,0	1,0	1,0	1,0	1,0	1,5	5,0	NA	2,0	0,0	0,0	3,0	1,0	165,0	62,0	3,0	0,0	1,0	0,0	3,0	0,0	9,0	5,0	0,0	0,0						
0,0	21,0	3,0	44,0	0,0	1,8	1,0	8,0	8,0	0,0	0,0	1,0	9,0	5,0	0,0	2,0	2,0	400,0	0,0	0,0	1,0	-2,0	2,0	0,0	0,0	2,0	8,0	8,0	2,0	3,0	1,0	0,0	6,0	0,0	185,0	87,0	3,0	0,0	1,0	0,0	4,0	2,0	5,0	4,0	0,0	1,0						
1,0	20,0	1,0	40,0	0,0	2,2	1,0	8,0	5,0	1,0	1,0	1,0	8,0	1,0	0,0	2,0	2,0	300,0	0,0	2,0	0,0	1,0	1,0	1,0	1,0	1,0	5,0	10,0	5,0	2,0	0,0	0,0	4,0	1,0	172,0	68,0	3,0	0,0	1,0	0,0	3,0	-1,0	9,0	0,0	0,0	0,0						
1,0	19,0	1,0	39,0	1,0	2,2	0,0	5,0	5,0	1,0	1,0	1,0	8,0	2,0	2,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	1,0	4,0	14,0	1,0	3,0	1,0	1,0	4,0	0,0	169,0	60,0	3,0	0,0	1,0	0,0	2,0	0,0	6,0	3,0	0,0	1,0						
1,0	19,0	2,0	37,0	0,0	1,3	0,0	2,0	2,0	1,0	1,0	1,0	7,0	2,0	0,0	2,0	2,0	500,0	1,0	2,0	2,0	1,0	3,0	1,0	1,0	2,0	15,0	8,0	3,0	3,0	1,0	1,0	4,0	5,0	160,0	55,0	1,0	0,0	0,0	0,0	1,0	1,0	3,0	4,0	0,0	1,0						
1,0	19,0	3,0	39,0	1,0	1,9	0,0	4,0	3,0	0,0	1,0	1,0	7,0	1,0	0,0	2,0	2,0	0,0	0,0	1,0	0,0	0,0	1,0	0,0	1,0	3,0	10,0	5,0	3,0	3,0	1,0	0,0	6,0	2,0	176,0	59,0	3,0	0,0	0,0	0,0	1,0	1,0	3,0	2,0	0,0	1,0						
0,0	22,0	6,0	42,0	0,0	1,5	0,0	5,0	5,0	1,0	0,0	0,0	9,0	2,0	0,0	1,0	4,0	320,0	1,0	2,0	0,0	-2,0	4,0	1,0	0,0	2,0	5,0	1,0	1,0	3,0	1,0	1,0	3,0	0,0	178,0	72,0	3,0	0,0	1,0	0,0	4,0	2,0	3,0	1,0	0,0	2,0						
0,0	22,0	1,0	42,0	0,0	2,1	0,0	10,0	10,0	1,0	1,0	1,0	7,5	5,0	0,0	2,0	3,0	200,0	0,0	1,0	1,0	-1,0	1,0	1,0	1,0	2,0	10,5	3,0	5,0	3,0	1,0	0,0	3,0	0,0	180,0	74,0	3,0	1,0	1,0	0,0	2,0	1,0	3,0	1,0	1,0	1,0						
0,0	21,0	1,0	46,0	0,0	2,6	1,0	11,0	6,0	1,0	0,0	1,0	6,5	1,0	0,0	2,0	3,0	230,0	0,0	0,0	1,0	2,0	4,0	0,0	1,0	3,0	5,0	14,0	6,0	1,0	0,0	0,0	0,0	1,0	179,0	99,0	3,0	0,0	1,0	0,0	1,0	0,0	8,0	4,0	1,0	0,0						
1,0	20,0	6,0	40,0	0,0	1,6	0,0	3,0	3,0	1,0	0,0	1,0	8,5	5,0	0,0	1,0	3,0	270,0	0,0	1,0	0,0	1,0	0,0	1,0	0,0	2,0	18,0	25,0	1,0	2,0	1,0	0,0	4,0	0,0	180,0	52,0	1,0	0,0	1,0	0,0	3,0	1,0	9,0	2,0	0,0	1,0						
0,0	25,0	5,0	42,0	0,0	1,3	1,0	3,0	3,0	1,0	0,0	1,0	8,0	2,0	0,0	2,0	3,0	1160,0	0,0	0,0	-2,0	1,0	2,0	1,0	1,0	2,0	24,0	10,0	4,0	1,0	0,0	0,0	4,0	0,0	182,0	72,0	2,0	1,0	1,0	0,0	1,0	1,0	9,0	5,0	1,0	2,0						
0,0	20,0	2,0	45,0	1,0	2,4	0,0	2,0	2,0	1,0	0,0	1,0	8,0	1,0	0,0	2,0	3,0	360,0	1,0	0,0	1,0	1,0	1,0	1,0	1,0	2,0	15,0	12,0	3,0	3,0	1,0	1,0	5,0	3,0	185,0	75,0	2,0	0,0	1,0	0,0	1,0	0,0	2,0	2,0	1,0	1,0						
0,0	21,0	3,0	45,0	1,0	2,0	1,0	5,0	5,0	0,0	0,0	0,0	9,0	2,0	0,0	2,0	3,0	235,0	0,0	-1,0	0,0	-1,0	0,0	1,0	0,0	3,0	5,0	25,0	1,0	2,0	1,0	0,0	10,0	0,0	190,0	72,0	2,0	0,0	1,0	0,0	2,0	1,0	3,0	2,0	1,0	0,0						
0,0	21,0	1,0	45,0	0,0	1,9	1,0	3,0	3,0	1,0	0,0	1,0	7,5	2,0	0,0	2,0	3,0	250,0	0,0	0,0	1,0	1,0	2,0	0,0	0,0	2,0	12,0	15,0	5,0	3,0	0,0	0,0	3,0	4,0	181,0	69,0	3,0	0,0	1,0	0,0	1,0	1,0	5,0	2,0	1,0	0,0						
