portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,1,2007-09-01T00:00:00.0000000,0.041428199720555864
Mine,2,2007-09-01T00:00:00.0000000,0.038467387576903656
Mine,3,2007-09-01T00:00:00.0000000,0.030137104051530382
Mine,1,2007-10-01T00:00:00.0000000,0.040357154641165995
Mine,2,2007-10-01T00:00:00.0000000,0.014817380915541677
Mine,3,2007-10-01T00:00:00.0000000,0.012258568497399985
Mine,1,2007-11-01T00:00:00.0000000,-0.047627348618956414
Mine,2,2007-11-01T00:00:00.0000000,-0.05514911641056746
Mine,3,2007-11-01T00:00:00.0000000,-0.05554116817498178
Mine,1,2007-12-01T00:00:00.0000000,0.01446053647886212
Mine,2,2007-12-01T00:00:00.0000000,-0.017187216509793175
Mine,3,2007-12-01T00:00:00.0000000,-0.015146520561051247
Mine,1,2008-01-01T00:00:00.0000000,-0.07565453289216338
Mine,2,2008-01-01T00:00:00.0000000,-0.05121715247020924
Mine,3,2008-01-01T00:00:00.0000000,-0.07100488444077598
Mine,1,2008-02-01T00:00:00.0000000,-0.013711746449907254
Mine,2,2008-02-01T00:00:00.0000000,-0.026062333808372234
Mine,3,2008-02-01T00:00:00.0000000,-0.031684931145822354
Mine,1,2008-03-01T00:00:00.0000000,-0.016846126023872806
Mine,2,2008-03-01T00:00:00.0000000,-0.0067122148630125965
Mine,3,2008-03-01T00:00:00.0000000,-0.011018537171053885
Mine,1,2008-04-01T00:00:00.0000000,0.05620383836770225
Mine,2,2008-04-01T00:00:00.0000000,0.04727461982187989
Mine,3,2008-04-01T00:00:00.0000000,0.04605865551547638
Mine,1,2008-05-01T00:00:00.0000000,0.03697312448357513
Mine,2,2008-05-01T00:00:00.0000000,0.030602961502230703
Mine,3,2008-05-01T00:00:00.0000000,0.001350405222203858
Mine,1,2008-06-01T00:00:00.0000000,-0.0862277025577236
Mine,2,2008-06-01T00:00:00.0000000,-0.06908213271854835
Mine,3,2008-06-01T00:00:00.0000000,-0.08812842249425759
Mine,1,2008-07-01T00:00:00.0000000,0.01451360043316652
Mine,2,2008-07-01T00:00:00.0000000,-0.02150701831462608
Mine,3,2008-07-01T00:00:00.0000000,-0.037708176248642894
Mine,1,2008-08-01T00:00:00.0000000,0.0114616173787071
Mine,2,2008-08-01T00:00:00.0000000,0.007176360054576268
Mine,3,2008-08-01T00:00:00.0000000,0.0118229046437524
Mine,1,2008-09-01T00:00:00.0000000,-0.10170546114918745
Mine,2,2008-09-01T00:00:00.0000000,-0.11062416852907926
Mine,3,2008-09-01T00:00:00.0000000,-0.08957621943545799
Mine,1,2008-10-01T00:00:00.0000000,-0.16358522814444604
Mine,2,2008-10-01T00:00:00.0000000,-0.20358538034210455
Mine,3,2008-10-01T00:00:00.0000000,-0.2153429765606787
Mine,1,2008-11-01T00:00:00.0000000,-0.12049292303466294
Mine,2,2008-11-01T00:00:00.0000000,-0.07100915546930486
Mine,3,2008-11-01T00:00:00.0000000,-0.07319372741605579
Mine,1,2008-12-01T00:00:00.0000000,0.0241684922714871
Mine,2,2008-12-01T00:00:00.0000000,0.018374523027707538
Mine,3,2008-12-01T00:00:00.0000000,0.01892160108426793
Mine,1,2009-01-01T00:00:00.0000000,-0.08124055151520955
Mine,2,2009-01-01T00:00:00.0000000,-0.07852858492533259
Mine,3,2009-01-01T00:00:00.0000000,-0.06908505638406533
Mine,1,2009-02-01T00:00:00.0000000,-0.08024619038313996
Mine,2,2009-02-01T00:00:00.0000000,-0.11115390088036592
Mine,3,2009-02-01T00:00:00.0000000,-0.11739201368801817
Mine,1,2009-03-01T00:00:00.0000000,0.07869805240668509
Mine,2,2009-03-01T00:00:00.0000000,0.0882077814916869
Mine,3,2009-03-01T00:00:00.0000000,0.11294325750093097
Mine,1,2009-04-01T00:00:00.0000000,0.08763415244932347
Mine,2,2009-04-01T00:00:00.0000000,0.1138417000145987
Mine,3,2009-04-01T00:00:00.0000000,0.11752905446554968
Mine,1,2009-05-01T00:00:00.0000000,0.08964060143461026
Mine,2,2009-05-01T00:00:00.0000000,0.04064389725956002
Mine,3,2009-05-01T00:00:00.0000000,0.08024403331432818
Mine,1,2009-06-01T00:00:00.0000000,-0.009963063045409871
Mine,2,2009-06-01T00:00:00.0000000,0.00585070357696414
Mine,3,2009-06-01T00:00:00.0000000,-0.0001724108121006656
Mine,1,2009-07-01T00:00:00.0000000,0.08462424083720127
Mine,2,2009-07-01T00:00:00.0000000,0.07469075066971279
Mine,3,2009-07-01T00:00:00.0000000,0.08799104086187957
Mine,1,2009-08-01T00:00:00.0000000,0.02541858815901724
Mine,2,2009-08-01T00:00:00.0000000,0.02670838737601306
Mine,3,2009-08-01T00:00:00.0000000,0.046645854650368905
Mine,1,2009-09-01T00:00:00.0000000,0.04817805636767709
Mine,2,2009-09-01T00:00:00.0000000,0.04421188581520262
Mine,3,2009-09-01T00:00:00.0000000,0.03693051781197285
Mine,1,2009-10-01T00:00:00.0000000,-0.03453487472996755
Mine,2,2009-10-01T00:00:00.0000000,-0.025045323357927758
Mine,3,2009-10-01T00:00:00.0000000,-0.02469236567055664
Mine,1,2009-11-01T00:00:00.0000000,0.05714018300760043
Mine,2,2009-11-01T00:00:00.0000000,0.053045285400692054
Mine,3,2009-11-01T00:00:00.0000000,0.0654026793017125
Mine,1,2009-12-01T00:00:00.0000000,0.0362684214386665
Mine,2,2009-12-01T00:00:00.0000000,0.019470111440197613
Mine,3,2009-12-01T00:00:00.0000000,0.03081653598673079
Mine,1,2010-01-01T00:00:00.0000000,-0.030824666739366888
Mine,2,2010-01-01T00:00:00.0000000,-0.04476027815529665
Mine,3,2010-01-01T00:00:00.0000000,-0.04323635764269143
Mine,1,2010-02-01T00:00:00.0000000,0.04065933424448246
Mine,2,2010-02-01T00:00:00.0000000,0.02780113858725681
Mine,3,2010-02-01T00:00:00.0000000,0.03233074371306112
Mine,1,2010-03-01T00:00:00.0000000,0.07000920709403156
Mine,2,2010-03-01T00:00:00.0000000,0.05770149519961667
Mine,3,2010-03-01T00:00:00.0000000,0.06282190218370814
Mine,1,2010-04-01T00:00:00.0000000,0.02281853250908802
Mine,2,2010-04-01T00:00:00.0000000,0.01951620275179191
Mine,3,2010-04-01T00:00:00.0000000,0.01686035466048928
Mine,1,2010-05-01T00:00:00.0000000,-0.08125761957738958
Mine,2,2010-05-01T00:00:00.0000000,-0.08482614536273259
Mine,3,2010-05-01T00:00:00.0000000,-0.07304895571546507
Mine,1,2010-06-01T00:00:00.0000000,-0.04256686641066686
Mine,2,2010-06-01T00:00:00.0000000,-0.05095717889277162
Mine,3,2010-06-01T00:00:00.0000000,-0.06413141975108211
Mine,1,2010-07-01T00:00:00.0000000,0.06787308155238372
Mine,2,2010-07-01T00:00:00.0000000,0.07410581901202298
Mine,3,2010-07-01T00:00:00.0000000,0.07075158204882039
Mine,1,2010-08-01T00:00:00.0000000,-0.0440523206495996
Mine,2,2010-08-01T00:00:00.0000000,-0.05051732871827958
Mine,3,2010-08-01T00:00:00.0000000,-0.042174192567739424
Mine,1,2010-09-01T00:00:00.0000000,0.09440151972299628
Mine,2,2010-09-01T00:00:00.0000000,0.09791019245290052
Mine,3,2010-09-01T00:00:00.0000000,0.09104948952734408
Mine,1,2010-10-01T00:00:00.0000000,0.038690563498905386
Mine,2,2010-10-01T00:00:00.0000000,0.03690882427655587
Mine,3,2010-10-01T00:00:00.0000000,0.04182795818834851
Mine,1,2010-11-01T00:00:00.0000000,0.00850727833774784
Mine,2,2010-11-01T00:00:00.0000000,0.0007307846295299328
Mine,3,2010-11-01T00:00:00.0000000,0.00915897869652973
Mine,1,2010-12-01T00:00:00.0000000,0.06516357409135756
Mine,2,2010-12-01T00:00:00.0000000,0.06902901292196541
Mine,3,2010-12-01T00:00:00.0000000,0.07761237021137792
Mine,1,2011-01-01T00:00:00.0000000,0.008734770930185348
Mine,2,2011-01-01T00:00:00.0000000,0.020091183080048414
Mine,3,2011-01-01T00:00:00.0000000,0.025100653502952486
Mine,1,2011-02-01T00:00:00.0000000,0.025907145816924902
Mine,2,2011-02-01T00:00:00.0000000,0.042085764045648795
Mine,3,2011-02-01T00:00:00.0000000,0.05112448246574069
Mine,1,2011-03-01T00:00:00.0000000,0.0030218136223919335
Mine,2,2011-03-01T00:00:00.0000000,0.001711103145275627
Mine,3,2011-03-01T00:00:00.0000000,0.007705893380987217
Mine,1,2011-04-01T00:00:00.0000000,0.03428894795768825
Mine,2,2011-04-01T00:00:00.0000000,0.024212928867084597
Mine,3,2011-04-01T00:00:00.0000000,0.021418684537431735
Mine,1,2011-05-01T00:00:00.0000000,-0.020171845633416268
Mine,2,2011-05-01T00:00:00.0000000,-0.012243753351348629
Mine,3,2011-05-01T00:00:00.0000000,-0.011583751339847062
Mine,1,2011-06-01T00:00:00.0000000,-0.020214628093158455
Mine,2,2011-06-01T00:00:00.0000000,-0.016909237917041305
Mine,3,2011-06-01T00:00:00.0000000,-0.01975972695072205
Mine,1,2011-07-01T00:00:00.0000000,-0.04107858824818769
Mine,2,2011-07-01T00:00:00.0000000,-0.01962691653781376
Mine,3,2011-07-01T00:00:00.0000000,0.003121193401920811
Mine,1,2011-08-01T00:00:00.0000000,-0.0550461312888954
