Rank,Rank,Movie_name,IMDb_id,Release_Year,IMDB_Rating,Reviewer_count,Movie_Length,Genre,Director,Starring,Budget,Cum_Worldwide_Gross,Country,Language
51,51,Cinema Paraíso,0095765,1988,8.5,225495,155,['Drama'],Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili']",5000000,12953675,"['Italy', 'France']",['Italian']
52,52,Janela Indiscreta,0047396,1954,8.4,436272,112,"['Mystery', 'Thriller']",Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey']",1000000,37032034,['USA'],['English']
53,53,Alien - O 8.º Passageiro,0078748,1979,8.4,775008,117,"['Horror', 'Sci-Fi']",Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']",11000000,108303039,"['UK', 'USA']",['English']
54,54,Apocalypse Now,0078788,1979,8.4,595848,147,"['Drama', 'Mystery', 'War']",Francis Ford Coppola(as Francis Coppola),"['Martin Sheen', 'Marlon Brando', 'Robert Duvall']",31500000,91968688,['USA'],"['English', 'French', 'Vietnamese']"
55,55,Memento,0209144,2000,8.4,1107864,113,"['Mystery', 'Thriller']",Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",9000000,39970386,['USA'],['English']
56,56,Os Salteadores da Arca Perdida,0082971,1981,8.4,871011,115,"['Action', 'Adventure']",Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']",18000000,390133212,['USA'],"['English', 'German', 'Hebrew', 'Spanish', 'Arabic', 'Nepali']"
57,57,O Grande Ditador,0032553,1940,8.4,199345,125,"['Comedy', 'Drama', 'War']",Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']",2000000,969879,['USA'],"['English', 'Esperanto']"
58,58,Django Libertado,1853728,2012,8.4,1329552,165,"['Drama', 'Western']",Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",100000000,425368238,['USA'],"['English', 'German', 'French', 'Italian']"
59,59,As Vidas dos Outros,0405094,2006,8.4,352514,137,"['Drama', 'Mystery', 'Thriller']",Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch']",2000000,77356942,"['Germany', 'France']",['German']
60,60,Joker,7286456,2019,8.5,884644,122,"['Crime', 'Drama', 'Thriller']",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",55000000,1074251311,"['USA', 'Canada']",['English']
61,61,Horizontes de Glória,0050825,1957,8.4,174527,88,"['Drama', 'War']",Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']",935000,5252,['USA'],"['English', 'German', 'Latin']"
62,62,WALL·E,0910970,2008,8.4,981809,98,"['Animation', 'Adventure', 'Family']",Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",180000000,521311860,['USA'],['English']
63,63,Shining,0081505,1980,8.4,878599,146,"['Drama', 'Horror']",Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",19000000,46649372,"['UK', 'USA']",['English']
64,64,Vingadores: Guerra do Infinito,4154756,2018,8.4,807730,149,"['Action', 'Adventure', 'Sci-Fi']",Anthony Russo,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",321000000,2048359754,['USA'],['English']
65,65,Crepúsculo dos Deuses,0043014,1950,8.4,197932,110,"['Drama', 'Film-Noir']",Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim']",1752000,299645,['USA'],['English']
66,66,Testemunha de Acusação,0051201,1957,8.4,106159,116,"['Crime', 'Drama', 'Mystery']",Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']",3000000,7693,['USA'],"['English', 'German']"
67,67,Homem-Aranha: No Universo Aranha,4633694,2018,8.4,345660,117,"['Animation', 'Action', 'Adventure']",Bob Persichetti,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']",90000000,375540831,['USA'],"['English', 'Spanish']"
68,68,Oldboy-Velho amigo,0364569,2003,8.4,505365,120,"['Action', 'Drama', 'Mystery']",Chan-wook Park,"['Min-sik Choi', 'Ji-Tae Yoo', 'Hye-jeong Kang']",3000000,15002116,['South Korea'],['Korean']
69,69,A Princesa Mononoke,0119698,1997,8.4,334900,134,"['Animation', 'Adventure', 'Fantasy']",Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']",2400000000,169785629,['Japan'],['Japanese']
70,70,Doutor Estranhoamor,0057012,1964,8.4,444090,95,['Comedy'],Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']",1800000,9443876,"['UK', 'USA']","['English', 'Russian']"
71,71,O Cavaleiro das Trevas Renasce,1345836,2012,8.4,1492050,164,"['Action', 'Adventure']",Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway']",250000000,1081141368,"['UK', 'USA']","['English', 'Arabic']"
72,72,Era Uma Vez na América,0087843,1984,8.4,305163,229,"['Crime', 'Drama']",Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",30000000,5472914,"['USA', 'Italy']","['English', 'Italian', 'French', 'Yiddish', 'Hebrew']"
73,73,Aliens: O Recontro Final,0090605,1986,8.3,643814,137,"['Action', 'Adventure', 'Sci-Fi']",James Cameron,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']",18500000,131387641,"['USA', 'UK']",['English']
74,74,Kimi no na wa.,5311514,2016,8.4,183619,106,"['Animation', 'Drama', 'Fantasy']",Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita']",370000000,358922706,['Japan'],['Japanese']
75,75,Vingadores: Endgame,4154796,2019,8.4,773441,181,"['Action', 'Adventure', 'Drama']",Anthony Russo,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",356000000,2797800564,['USA'],"['English', 'Japanese', 'Xhosa', 'German']"
76,76,Coco,2380307,2017,8.4,360025,105,"['Animation', 'Adventure', 'Family']",Lee Unkrich,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']",175000000,807817888,['USA'],"['English', 'Spanish']"
77,77,Beleza Americana,0169547,1999,8.3,1055153,122,['Drama'],Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",15000000,356296601,['USA'],['English']
78,78,Braveheart: O Desafio do Guerreiro,0112573,1995,8.3,946848,178,"['Biography', 'Drama', 'History']",Mel Gibson,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",72000000,213216216,['USA'],"['English', 'French', 'Latin', 'Scottish Gaelic', 'Italian']"
79,79,3 Idiots,1187043,2009,8.4,335775,170,"['Comedy', 'Drama']",Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh']",550000000,60262836,['India'],"['Hindi', 'English']"
80,80,A Odisseia do Submarino 96,0082096,1981,8.3,228245,149,"['Adventure', 'Drama', 'Thriller']",Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']",32000000,11487676,['West Germany'],['German']
81,81,Toy Story: Os Rivais,0114709,1995,8.3,871137,81,"['Animation', 'Adventure', 'Comedy']",John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",30000000,404265656,['USA'],['English']
82,82,Tengoku to jigoku,0057565,1963,8.4,32391,143,"['Crime', 'Drama', 'Mystery']",Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai']",0,46808,['Japan'],['Japanese']
83,83,Amadeus,0086879,1984,8.3,363556,160,"['Biography', 'Drama', 'History']",Milos Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']",18000000,52066791,"['USA', 'France', 'Czechoslovakia', 'Italy']","['English', 'Italian', 'Latin', 'German']"
84,84,Cafarnaum,8267604,2018,8.4,56541,126,['Drama'],Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole']",4000000,64417003,"['Lebanon', 'USA', 'France', 'Cyprus', 'Qatar', 'UK']","['Arabic', 'Amharic']"
85,85,Taare Zameen Par,0986264,2007,8.4,163967,165,"['Drama', 'Family']",Aamir Khan,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']",0,21897373,['India'],['Hindi']
86,86,Star Wars: Episódio VI - O Regresso de Jedi,0086190,1983,8.3,934314,131,"['Action', 'Adventure', 'Fantasy']",Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",32500000,475546459,['USA'],['English']
87,87,Sacanas Sem Lei,0361748,2009,8.3,1240384,153,"['Adventure', 'Drama', 'War']",Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth']",70000000,321455689,"['Germany', 'USA']","['English', 'German', 'French', 'Italian']"
88,88,Cães Danados,0105236,1992,8.3,903300,99,"['Crime', 'Drama', 'Thriller']",Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",1200000,2889963,['USA'],['English']
89,89,O Bom Rebelde,0119217,1997,8.3,844761,126,"['Drama', 'Romance']",Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck']",10000000,225933435,['USA'],['English']
90,90,2001: Odisseia no Espaço,0062622,1968,8.3,592789,149,"['Adventure', 'Sci-Fi']",Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",12000000,65436747,"['UK', 'USA']","['English', 'Russian']"
91,91,A Vida não é um Sonho,0180093,2000,8.3,754153,102,['Drama'],Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly']",4500000,7390108,['USA'],['English']
92,92,A Mulher Que Viveu Duas Vezes,0052357,1958,8.3,356871,128,"['Mystery', 'Romance', 'Thriller']",Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes']",2479000,7796389,['USA'],['English']
93,93,Matou,0022100,1931,8.3,140770,117,"['Crime', 'Mystery', 'Thriller']",Fritz Lang,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut']",0,35566,['Germany'],['German']
94,94,O Despertar da Mente,0338013,2004,8.3,896889,108,"['Drama', 'Romance', 'Sci-Fi']",Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']",20000000,74036715,['USA'],['English']
95,95,Dangal,5074352,2016,8.4,150396,161,"['Action', 'Biography', 'Drama']",Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh']",700000000,303723636,['India'],"['Hindi', 'English']"
96,96,The Hunt - A Caça,2106476,2012,8.3,272892,115,['Drama'],Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp']",3800000,15843274,"['Denmark', 'Sweden']","['Danish', 'English', 'Polish']"
97,97,O Mundo a Seus Pés,0033467,1941,8.3,392546,119,"['Drama', 'Mystery']",Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore']",839727,1594107,['USA'],"['English', 'Italian']"
98,98,1917,8579674,2019,8.3,380581,119,"['Drama', 'War']",Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays']",95000000,384792488,"['USA', 'UK', 'India', 'Spain', 'Canada', 'China']","['English', 'French', 'German']"
99,99,Nascido Para Matar,0093058,1987,8.3,663563,116,"['Drama', 'War']",Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]",30000000,46357676,"['UK', 'USA']","['English', 'Vietnamese']"
100,100,Ladrões de Bicicletas,0040522,1948,8.3,143166,89,['Drama'],Vittorio De Sica,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell']",133000,428978,['Italy'],"['Italian', 'English']"
101,101,O Garoto de Charlot,0012349,1921,8.3,110591,68,"['Comedy', 'Drama', 'Family']",Charles Chaplin(as Charlie Chaplin),"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan']",250000,26916,['USA'],"['English', 'None']"
102,102,Serenata à Chuva,0045152,1952,8.3,214969,103,"['Comedy', 'Musical', 'Romance']",Stanley Donen,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds']",2540800,1864182,['USA'],['English']
103,103,Laranja Mecânica,0066921,1971,8.3,745685,136,"['Crime', 'Drama', 'Sci-Fi']",Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']",2200000,26903440,"['UK', 'USA']",['English']
104,104,Intriga Internacional,0053125,1959,8.3,294353,136,"['Adventure', 'Mystery', 'Thriller']",Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason']",3101000,73446,['USA'],"['English', 'French']"
105,105,Snatch - Porcos E Diamantes,0208092,2000,8.3,771184,104,"['Comedy', 'Crime']",Guy Ritchie,"['Jason Statham', 'Brad Pitt', 'Benicio Del Toro']",6000000,83557872,"['UK', 'USA']","['English', 'Russian']"
106,106,Scarface - A Força do Poder,0086250,1983,8.3,727283,170,"['Crime', 'Drama']",Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer']",25000000,66023585,['USA'],"['English', 'Spanish']"
107,107,Taxi Driver,0075314,1976,8.3,709898,114,"['Crime', 'Drama']",Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd']",1300000,28441292,['USA'],"['English', 'Spanish']"
