"sex"	"age"	"birthplace"	"shoesize"	"service"	"smoking"	"avgrade"	"bafög"	"soccer"	"applynumb"	"acceptnumb"	"car"	"sleep"	"religion"	"job"	"unieval"	"cityeval"	"rent"	"abroadbefore"	"master"	"exchange"	"faith"	"brothsis"	"friend"	"animal"	"howareyou"	"work"	"tv"	"party"	"parentseducat"	"parentsstudy"	"parentsphd"	"languages"	"travel"	"height"	"weight"	"cooking"	"profession"	"meat"	"alternative"	"eggs"	"studyfine"	"newspaper"	"information"	"soccommit"	"econconcept"
"56"	1	19	3	41	0	0	1.8	0	2	4	4	0	8	5	0	4	3	170	0	2	1	-2	0	1	0	0	28	1.4	2	3	1	0	3	2	180	63	2	0	1	5	4	0	3	5	0	0
"57"	0	20	4	47	0	0	1.8	1	2	2	2	1	8.5	2	0	1	3	325	0	2	2	2	2	0	0	2	35	7	1	3	0	0	3	0	188	72	2	0	1	4	0	2	3	4	0	2
"58"	0	21	4	47	2	0	1.5	1	1	1	1	0	7	1	0	1	3	340	0	2	1	1	2	1	0	1	30	10	1	3	1	0	3	0	191	89	4	0	1	2	3	2	9	2	1	2
"59"	1	21	6	40	0	0	1.6	0	2	3	3	0	9	5	2	3	2	320	0	1	-1	1	0	1	0	2	14	21	1	2	1	0	2	1	180	60	1	0	1	5	1	-1	9	4	0	1
"60"	1	20	1	43	2	0	2.5	0	3	7	3	1	7	2	0	2	3	0	0	1	0	0	2	0	0	1	10	14	1	3	1	1	2	0	180	70	3	0	1	3	3	-1	2	1	0	0
"61"	1	19	4	41	3	1	1.7	0	6	3	2	0	8	1	0	1	3	230	0	0	1	1	2	1	0	2	15	0.5	5	3	1	0	2	1	176	65	2	0	1	3	4	1	6	3	1	1
"62"	0	21	6	44	2	0	1.6	0	2	5	5	0	7	2	0	2	3	235	0	2	-1	2	2	1	0	1	12	4	3	3	1	1	2	2	180	74	4	0	0	3	3	1	8	1	1	2
"63"	0	23	3	43	0	0	2.1	0	2	7	6	0	7	2	0	2	3	305	1	1	0	1	1	1	1	1	20	3	3	3	1	1	3	2	181	78	3	1	1	1	4	2	3	4	0	1
"64"	0	21	3	43	2	1	1.8	0	5	2	2	0	8	1	1	1	3	220	1	1	1	-1	1	0	1	1	16	3	2	3	1	0	2	2	178	68	3	0	1	3	3	1	3	5	0	1
"65"	0	22	1	44	2	0	1.9	0	1	11	10	1	12	1	3	2	3	0	0	1	2	-2	1	1	0	0	2	20	5	2	0	0	2	1	183	86	3	0	1	3	0	1	8	5	1	0
"66"	0	21	2	43	2	0	1.3	1	2	2	2	1	7.5	1	2	2	3	180	0	0	1	2	1	1	1	2	12	7	1	1	0	0	3	1	179	68	2	0	1	1	1	2	2	4	1	1
"67"	0	21	1	44	1	0	1.8	1	3	4	4	1	7	1	0	2	3	340	0	2	1	0	2	0	1	1	12	0	2	3	1	0	3	0	182	74	4	0	1	4	4	2	2	1	1	2
"68"	1	22	1	37	0	0	1.9	0	0	3	3	1	7	1	0	2	3	370	1	2	-1	2	0	1	1	1	10	3	1	3	0	0	3	1	163	48	3	0	1	2	3	1	3	2	1	0
"69"	1	19	2	41	0	0	1.7	0	0	14	13	0	7.5	2	2	2	2	280	1	2	1	-1	3	0	1	1	10	5	1	3	1	1	2	3	177	58	3	0	1	2	0	1	2	4	1	1
"70"	0	21	1	44	2	0	1.2	0	0	1	1	1	8	1	1	2	3	200	0	2	-1	1	1	0	1	1	11	3.5	2	3	1	0	4	1	188	74	2	0	1	4	4	1	5	5	1	1
"71"	0	21	1	43	2	0	1.7	1	2	5	5	0	7.5	5	0	2	3	230	0	2	2	2	2	0	0	1	11	10	2	3	1	0	1	1	180	85	2	0	1	4	4	2	1	4	0	1
"72"	0	20	1	44.5	2	0	2.2	0	2	5	2	0	9	1	0	2	4	220	0	1	1	1	1	1	1	1	15	3	5	3	1	0	2	1	189	70	3	0	1	5	4	1	8	4	0	1
"73"	1	20	4	39	0	0	1.4	0	2	4	4	0	7	1	0	2	2	275	0	2	0	-2	2	0	1	1	3	2	5	3	1	1	4	1	177	60	4	0	1	3	4	1	2	4	1	1
"74"	1	19	5	36	0	0	1.3	0	0	3	3	0	5	5	0	1	2	180	0	2	2	-1	1	0	0	1	10	1	3	3	0	0	2	1	158	44	5	0	0	2	4	1	6	2	0	1
"75"	0	20	1	40	0	0	1.7	0	2	3	3	0	8	1	0	3	4	220	0	1	2	2	0	1	0	1	10	2	6	3	1	0	4	3	183	75	3	0	1	4	0	1	9	4	1	1
"76"	0	21	1	45	0	0	2.5	0	0	1	1	0	6	2	0	3	3	300	0	0	0	-2	0	0	1	0	4	3	5	3	1	1	2	3	180	65	3	0	1	0	0	0	9	4	0	0
"77"	1	20	3	40	0	0	2.3	1	6	4	4	1	7	5	2	1	1	0	0	0	1	2	2	1	0	2	8	3	5	1	0	0	2	2	170	60	2	0	1	1	2	1	8	1	0	1
"78"	0	20	4	47	0	1	1.9	0	0	6	6	1	6	5	0	2	3	300	1	1	1	-2	1	1	1	1	10	9	2	3	1	1	2	3	187	110	2	0	1	3	3	2	3	4	1	2
"79"	0	21	5	44	2	0	2.1	0	2	8	6	0	7	1	0	2	2	270	0	0	1	-1	1	1	0	1	20	5	2	3	1	0	1	1	186	85	2	0	1	1	2	0	7	1	0	1
"80"	1	19	1	41	0	0	1.7	0	0	4	3	0	10	1	2	1	1	0	0	1	2	1	1	1	0	1	7	4	2	2	0	0	4	1	170	70	2	0	1	1	3	1	9	5	0	1
"81"	0	21	3	42	2	1	1.7	0	0	4	4	0	8	1	3	1	3	275	0	1	2	2	1	1	0	1	7	0	2	3	1	0	2	0	182	73	3	0	1	1	4	1	3	4	1	1
"82"	0	24	2	42	2	0	2.7	0	1	15	10	0	9	1	0	2	2	105	1	0	2	1	1	0	0	1	10	0	1	3	1	0	2	3	180	80	1	1	1	1	3	2	4	4	1	1
"83"	0	21	3	43	1	1	1.8	0	2	4	4	0	7	5	3	2	3	166	0	2	2	-2	4	1	0	1	6	6	5	3	1	1	2	2	179	80	2	0	1	3	3	2	9	1	0	1
"84"	0	23	1	43	2	1	1.3	0	0	1	1	0	7	5	0	1	3	400	1	1	1	-2	1	1	1	2	30	0	6	3	1	1	2	1	179	75	4	0	1	3	0	2	9	4	0	1
"85"	0	21	2	40	2	0	2.1	0	1	8	8	0	6	1	0	2	2	300	1	2	2	-2	1	0	1	-1	10	0	3	3	1	0	3	3	182	64	2	0	1	2	2	2	2	4	1	1
"86"	1	19	3	37	0	0	1.3	0	2	3	3	0	8	5	0	1	3	230	0	0	1	-1	0	1	0	1	16	5	5	3	0	0	3	1	170	58	3	0	1	1	4	1	9	2	0	1
"87"	0	19	7	45	0	0	1.1	0	2	1	1	0	7	3	0	2	4	230	0	2	2	1	0	0	1	1	15	0	2	3	1	1	5	3	180	82	5	0	1	1	0	1	9	5	0	1
"88"	0	20	1	45	0	0	1.8	0	2	5	5	0	10	1	0	2	2	270	1	1	0	0	1	0	1	0	1	7	5	3	1	0	3	3	187	81	1	0	1	3	3	-1	1	0	0	0
"89"	0	20	1	44	2	0	1.4	0	3	2	2	1	7	2	2	1	3	300	1	2	2	2	2	1	1	2	15	8	3	3	1	1	3	4	184	72	2	0	1	5	2	1	2	4	1	2
"90"	0	21	1	44	2	1	2.1	0	2	3	3	0	8	2	0	2	3	285	1	2	1	1	1	0	0	1	12	3	2	3	1	1	2	3	180	70	2	0	1	3	0	1	2	5	1	1
"91"	0	21	5	45	0	1	2	0	3	6	5	0	8	2	0	1	2	300	0	2	2	1	1	0	1	1	10	5	1	3	1	0	1	2	193	80	3	1	1	1	3	1	4	4	1	1
"92"	0	21	3	43	3	1	1.7	0	2	2	2	1	7	2	0	2	3	265	0	0	1	-2	1	1	0	1	10	10	6	2	1	0	3	0	178	78	2	0	1	4	0	1	5	4	0	0
"93"	0	19	3	44	0	0	1.2	0	2	3	3	0	7	2	0	2	2	230	1	1	1	-2	3	0	0	2	3	0	5	3	1	1	4	2	188	85	2	0	0	4	4	1	3	4	0	-1
"94"	0	19	4	43	0	0	1	0	1	2	2	0	8	1	0	1	3	250	0	2	2	1	0	1	1	1	5	3.5	3	3	1	0	4	1	183	68	1	0	1	3	4	1	3	2	1	0
"95"	0	20	4	44	0	0	1.3	0	3	3	3	0	7	1	0	1	3	380	1	2	1	1	0	0	1	2	10	11	3	3	1	0	3	1	180	73	4	0	1	5	4	1	2	4	0	1
"96"	1	19	1	40	0	1	2.3	0	3	5	4	0	6	2	0	1	2	370	0	1	1	1	1	0	1	2	5	2	2	3	1	0	3	2	170	65	4	0	1	3	0	0	4	4	0	2
"97"	0	25	1	43	0	0	3.4	0	1	3	3	1	7	5	0	2	3	0	1	0	2	-2	0	0	0	0	10	10	2	3	0	0	2	2	182	75	3	1	1	3	0	0	9	4	1	0
